City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Micheweni,TZ,2021-09-25 14:56:37,-4.9667,39.8333,77.97,77,20,12.48
274,Oyama,JP,2021-09-25 14:56:37,36.3,139.8,73.58,69,100,6.11
275,Solwezi,ZM,2021-09-25 14:56:37,-12.1688,26.3894,85.28,16,79,8.41
276,Bojnurd,IR,2021-09-25 14:56:37,37.4747,57.329,76.95,53,0,16.11
277,Henderson,US,2021-09-25 14:56:38,36.0397,-114.9819,80.24,44,1,5.75
278,Sovetskiy,RU,2021-09-25 14:56:38,61.3614,63.5842,38.53,77,21,9.04
279,Touros,BR,2021-09-25 14:56:38,-5.1989,-35.4608,88.7,57,6,18.41
280,Voskresenskoye,RU,2021-09-25 14:56:38,56.8381,45.4317,47.08,94,82,5.1
281,Trofors,NO,2021-09-25 14:56:38,65.5333,13.4063,51.15,85,100,5.88
282,Ilulissat,GL,2021-09-25 14:56:39,69.2167,-51.1,14.54,58,6,4.97
283,Angoche,MZ,2021-09-25 14:56:39,-16.2325,39.9086,77.2,74,2,10.04
284,Vardo,NO,2021-09-25 14:54:43,70.3705,31.1107,47.1,91,100,8.39
285,Santa Fe,AR,2021-09-25 14:53:15,-31.6333,-60.7,73.74,46,0,8.99
286,Dongsheng,CN,2021-09-25 14:56:39,39.8161,109.9776,60.78,74,85,10.78
287,Bhuban,IN,2021-09-25 14:56:39,20.8833,85.8333,79.77,87,100,0.11
288,Valparaiso,CL,2021-09-25 14:56:40,-33.0393,-71.6273,60.44,84,75,4.61
289,Cherskiy,RU,2021-09-25 14:56:40,68.75,161.3,29.75,98,100,11.63
290,Ahipara,NZ,2021-09-25 14:56:40,-35.1667,173.1667,57.76,84,100,7.0
291,Yangjiang,CN,2021-09-25 14:56:40,21.85,111.9667,78.78,88,0,5.99
292,Baiyin,CN,2021-09-25 14:56:41,36.5583,104.2081,67.08,59,80,7.99
293,Campbellton,CA,2021-09-25 14:56:41,48.0075,-66.6727,59.41,97,100,2.1
